Time (s)	Shear rate (1/s), Domain Probe 1	maximum_linear_speed_of_object, Domain Probe 2
0.11123	523.72	NaN
0.11134	523.29	NaN
0.11156	522.63	NaN
0.11167	522.16	NaN
0.11189	521.45	NaN
0.11200	520.96	NaN
0.11221	520.19	NaN
0.11232	519.68	NaN
0.11254	518.86	NaN
0.11265	518.32	NaN
0.11287	517.47	NaN
0.11298	516.90	NaN
0.11320	516.00	NaN
0.11320	505.47	NaN
0.11333	505.21	NaN
0.11344	504.54	NaN
0.11367	503.34	NaN
0.11379	502.60	NaN
0.11402	501.33	NaN
0.11413	500.56	NaN
0.11436	499.34	NaN
0.11447	498.57	NaN
0.11470	497.29	NaN
0.11482	496.49	NaN
0.11505	495.16	NaN
0.11516	494.33	NaN
0.11539	492.94	NaN
0.11551	492.08	NaN
0.11573	490.64	NaN
0.11585	489.75	NaN
0.11608	488.25	NaN
0.11619	487.34	NaN
0.11642	485.79	NaN
0.11654	484.84	NaN
0.11677	483.24	NaN
0.11688	482.27	NaN
0.11711	480.62	NaN
0.11722	479.62	NaN
0.11722	468.53	NaN
0.11734	469.34	NaN
0.11745	468.42	NaN
0.11768	466.65	NaN
0.11780	465.58	NaN
0.11802	463.75	NaN
0.11814	462.64	NaN
0.11837	460.76	NaN
0.11848	459.62	NaN
0.11871	457.69	NaN
0.11883	456.52	NaN
0.11906	454.54	NaN
0.11917	453.34	NaN
0.11940	451.30	NaN
0.11951	450.08	NaN
0.11974	447.99	NaN
0.11986	446.74	NaN
0.12009	444.60	NaN
0.12020	443.33	NaN
0.12043	441.13	NaN
0.12054	439.83	NaN
0.12077	437.59	NaN
0.12089	436.26	NaN
0.12112	433.97	NaN
0.12123	432.62	NaN
0.12123	423.09	NaN
0.12135	423.50	NaN
0.12146	422.29	NaN
0.12169	419.92	NaN
0.12180	418.50	NaN
0.12203	416.04	NaN
0.12215	414.59	NaN
0.12238	412.07	NaN
0.12249	410.59	NaN
0.12272	408.02	NaN
0.12284	406.51	NaN
0.12306	403.88	NaN
0.12318	402.34	NaN
0.12341	399.68	NaN
0.12352	398.13	NaN
0.12375	395.43	NaN
0.12387	393.85	NaN
0.12409	391.09	NaN
0.12421	389.49	NaN
0.12444	386.74	NaN
0.12455	385.15	NaN
0.12478	382.43	NaN
0.12490	380.82	NaN
0.12513	378.05	NaN
0.12524	376.42	NaN
0.12524	368.70	NaN
0.12535	368.65	NaN
0.12547	367.14	NaN
0.12570	364.20	NaN
0.12581	362.49	NaN
0.12604	359.47	NaN
0.12616	357.72	NaN
0.12639	354.65	NaN
0.12650	352.87	NaN
0.12673	349.76	NaN
0.12684	348.01	NaN
0.12707	345.00	NaN
0.12719	343.23	NaN
0.12742	340.17	NaN
0.12753	338.38	NaN
0.12776	335.27	NaN
0.12787	333.45	NaN
0.12810	330.30	NaN
0.12822	328.46	NaN
0.12845	325.27	NaN
0.12856	323.40	NaN
0.12879	320.17	NaN
0.12891	318.28	NaN
0.12913	315.00	NaN
0.12925	313.09	NaN
0.12948	309.77	NaN
0.12948	303.72	NaN
0.12971	301.55	NaN
0.12994	298.14	NaN
0.13005	285.65	NaN
0.13028	278.48	NaN
0.13039	282.33	NaN
0.13062	278.63	NaN
