Time (s)	Shear rate (1/s), Domain Probe 1
0.034455	1383.8
0.034458	1382.9
0.034459	1382.4
0.034462	1574.9
0.034463	1381.4
0.034466	1380.7
0.034472	1379.2
0.034484	1376.6
0.034490	1375.2
0.034501	1372.6
0.034525	1367.4
0.034571	1356.7
0.034594	1351.6
0.034641	1341.0
0.034647	1339.9
0.034658	1337.0
0.034682	1331.7
0.034728	1320.8
0.034821	1298.9
0.034833	1297.0
0.034856	1291.6
0.034903	1280.2
0.034996	1258.1
0.035043	1248.1
0.035136	1226.4
0.035182	1215.3
0.035276	1193.0
0.035287	1190.8
0.035311	1184.9
0.035357	1173.4
0.035450	1151.4
0.035497	1879.2
0.035497	1143.4
0.035508	3004.8
0.035532	1131.4
0.035578	1119.9
0.035671	1098.0
0.035718	1085.5
0.035741	1080.2
0.035788	1068.7
0.035881	1047.1
0.035928	1034.6
0.035951	1028.9
0.035998	1017.6
0.036091	995.52
0.036137	982.66
0.036230	960.42
0.036417	917.18
0.036510	891.16
0.036556	878.41
0.036562	876.97
0.036574	1495.0
0.036597	868.97
0.036597	869.22
0.036603	5882.6
0.036615	865.44
0.036638	859.52
0.036685	848.09
0.036778	825.33
0.036789	820.33
0.036813	815.06
0.036859	804.02
0.036952	782.01
0.036999	769.22
0.037092	747.31
0.037139	734.38
0.037232	712.21
0.037278	699.16
0.037372	677.38
0.037558	635.15
0.037651	608.58
0.037651	612.33
0.037698	49739
0.037739	589.59
0.037823	3634.5
0.037834	562.21
0.037855	557.66
0.037897	547.80
0.037980	528.57
0.038148	490.94
0.038232	468.24
0.038400	446.42
0.038484	464.77
0.038525	474.25
0.038609	495.35
0.038609	497.50
0.038630	51620
0.038672	510.96
0.038756	531.56
0.038924	573.89
0.039008	593.55
0.039175	1141.7
0.039259	656.86
0.039427	700.50
0.039511	720.46
0.039678	764.85
0.039678	764.41
0.039689	1.3260E5
0.039699	11613
0.039710	804.16
0.039731	795.03
0.039773	795.73
0.039856	810.91
0.039898	819.00
0.039982	839.52
0.040024	849.00
0.040045	853.66
0.040087	864.50
0.040108	869.25
0.040150	2431.6
0.040234	901.90
0.040276	911.76
0.040359	933.43
0.040401	943.21
0.040485	964.76
0.040527	974.77
0.040611	996.84
0.040779	1040.9
0.040779	1052.9
0.040779	5003.8
0.040779	1043.1
0.040780	1040.9
0.040781	1039.4
0.040784	1038.6
0.040789	1038.6
0.040791	1038.7
0.040797	1039.4
0.040799	1039.7
0.040805	1040.7
0.040815	1043.4
0.040836	1049.3
0.040878	1060.4
0.040899	1065.4
0.040902	1064.9
0.040907	1065.6
0.040917	1068.2
0.040938	1074.0
0.040980	1085.0
0.041064	1106.5
0.041106	1116.1
0.041190	1867.2
0.041357	1180.9
0.041441	1200.4
0.041609	1242.7
0.041693	1261.9
0.041735	1270.4
0.041819	1290.7
0.041819	1294.9
0.041839	20956
0.041881	28391
0.041923	1316.3
0.042007	1335.2
0.042018	1336.3
0.042039	1341.2
0.042080	1351.3
0.042164	1371.4
0.042206	1380.0
0.042227	1384.3
0.042230	1384.0
0.042231	1384.0
0.042234	1384.2
0.042239	1385.1
0.042249	1387.5
0.042270	1392.7
0.042312	1402.5
0.042396	1421.6
0.042438	1430.4
0.042522	1449.5
0.042564	1458.3
0.042648	1555.1
0.042690	1486.2
0.042773	1504.5
0.042776	1504.6
0.042781	1504.9
0.042784	1505.2
0.042789	1505.8
0.042800	1508.0
0.042821	1512.8
0.042831	1514.9
0.042852	1519.4
0.042894	1528.5
0.042915	1532.7
0.042915	1535.3
0.042916	1533.5
0.042919	1533.4
0.042924	1534.2
0.042935	1536.2
0.042956	1540.6
0.042966	1542.7
0.042987	1547.1
0.043029	1555.9
0.043050	1560.0
0.043060	1561.9
0.043081	1566.2
0.043123	1574.8
0.043128	1575.6
0.043139	1577.5
0.043160	1581.8
0.043202	1590.3
0.043223	1594.4
0.043265	1603.0
0.043349	1620.0
0.043390	1628.1
0.043396	1629.3
0.043406	1631.0
0.043411	1632.0
0.043422	1633.9
0.043443	1638.0
0.043485	1646.3
0.043506	1650.2
0.043516	1652.1
0.043521	1653.1
0.043532	1655.1
0.043553	1659.1
0.043556	1659.7
0.043561	1660.6
0.043571	1662.5
0.043592	1666.5
0.043603	1668.5
0.043624	1672.4
0.043666	1680.3
0.043667	1680.8
0.043669	1681.0
0.043675	1681.9
0.043685	1683.7
0.043706	1687.5
0.043748	1695.3
0.043832	1710.6
0.043874	1718.2
0.043958	1733.7
0.043958	7268.7
0.044041	7013.3
0.044113	1764.9
0.044116	1765.7
0.044120	1765.9
0.044129	1766.7
0.044147	1768.8
0.044156	1770.0
0.044174	1772.5
0.044210	1777.2
0.044282	1788.8
0.044318	1794.4
0.044322	1795.2
0.044331	1796.4
0.044349	1799.3
0.044351	1799.8
0.044356	1800.4
0.044358	1800.8
0.044359	1801.0
0.044361	1801.3
0.044366	1802.0
0.044375	1803.4
0.044393	1806.2
0.044429	1811.7
0.044447	1814.5
0.044483	1819.9
0.044554	1830.8
0.044563	1832.2
0.044565	1832.4
0.044567	1832.7
0.044571	1833.4
0.044580	1834.7
0.044585	1835.4
0.044594	1836.6
0.044612	1839.3
0.044648	1844.6
0.044719	1855.5
0.044863	1876.2
0.044935	1885.4
0.044935	1892.0
0.044953	8912.1
0.044989	1894.2
0.045007	1895.1
0.045043	1899.8
0.045115	1909.1
0.045150	1913.4
0.045155	1914.3
0.045164	1916.5
0.045182	1918.2
0.045218	1922.4
0.045222	1923.5
0.045231	1924.6
0.045249	1927.2
0.045285	1931.1
0.045290	1931.7
0.045299	1932.9
0.045317	1935.4
0.045353	1939.4
0.045357	1940.0
0.045366	1941.4
0.045370	1941.9
0.045371	1942.0
0.045372	1942.1
0.045374	1942.3
0.045379	1942.9
0.045381	1943.2
0.045386	1943.7
0.045395	1944.8
0.045396	1945.0
0.045398	1945.2
0.045402	1945.7
0.045411	1946.8
